result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore, pf highscore
2,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8955075.0,8914605.0,8914605.0,8888955.0,9137880.0
3,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,8987805.0,8914605.0,8888955.0,9137880.0
4,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,8987805.0,8914605.0,8888955.0,9137880.0
5,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9004905.0,8914605.0,8888955.0,9137880.0
6,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9009180.0,8914605.0,8888955.0,9137880.0
7,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9009180.0,8914605.0,8888955.0,9552795.0
8,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9013455.0,8914605.0,8888955.0,9614640.0
9,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9013455.0,8914605.0,8888955.0,9708240.0
10,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9013455.0,8914605.0,8888955.0,9825780.0
11,8914605.0,8919615.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9017730.0,8914605.0,8888955.0,9911400.0
12,8914605.0,8956215.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9051930.0,8914605.0,8888955.0,9984765.0
13,8914605.0,8956215.0,8914605.0,8914605.0,8914605.0,8914605.0,8213105.0,8986995.0,9051930.0,8914605.0,8888955.0,10064175.0
14,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,8994975.0,9086130.0,8914605.0,8888955.0,10160115.0
15,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9012075.0,9088125.0,8914605.0,8888955.0,10260330.0
16,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9029175.0,9088125.0,8914605.0,8888955.0,10326915.0
17,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9029175.0,9088125.0,8914605.0,8888955.0,10405125.0
18,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9029175.0,9143025.0,8914605.0,8888955.0,10458255.0
19,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9029175.0,9143025.0,8914605.0,8888955.0,10511385.0
20,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9029175.0,9160125.0,8914605.0,8888955.0,10591935.0
21,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9046275.0,9160125.0,8914605.0,8888955.0,10598715.0
22,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9046275.0,9160125.0,8914605.0,8888955.0,10648710.0
23,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10681770.0
24,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10698870.0
25,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10724520.0
26,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10729935.0
27,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10791615.0
28,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9160125.0,8914605.0,8888955.0,10824510.0
29,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9190050.0,8914605.0,8888955.0,10837335.0
30,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9194325.0,8914605.0,8888955.0,10843950.0
31,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9194325.0,8914605.0,8888955.0,10860480.0
32,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9194325.0,8914605.0,8888955.0,10860480.0
33,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9054825.0,9194325.0,8914605.0,8888955.0,10860480.0
34,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10860480.0
35,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10865955.0
36,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10865955.0
37,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10865955.0
38,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
39,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
40,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
41,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
42,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
43,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
44,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10880715.0
45,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10895310.0
46,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10897080.0
47,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10911270.0
48,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10911270.0
49,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
50,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
51,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
52,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
53,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
54,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
55,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
56,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
57,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
58,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
59,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
60,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
61,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
62,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
63,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
64,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
65,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
66,8914605.0,8956215.0,8914605.0,8914605.0,8923155.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
67,8914605.0,8956215.0,8914605.0,8914605.0,8930265.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
68,8914605.0,8956215.0,8914605.0,8914605.0,8947365.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
69,8914605.0,8956215.0,8914605.0,8914605.0,8955915.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
70,8914605.0,8956215.0,8914605.0,8914605.0,8955915.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
71,8914605.0,8956215.0,8914605.0,8914605.0,8955915.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
72,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
73,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
74,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
75,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
76,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
77,8914605.0,8956215.0,8914605.0,8914605.0,8975415.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
78,8914605.0,8956215.0,8914605.0,8914605.0,8979690.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
79,8914605.0,8956215.0,8914605.0,8914605.0,8979690.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
80,8914605.0,8956215.0,8914605.0,8914605.0,9071190.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
81,8914605.0,8956215.0,8914605.0,8914605.0,9071190.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
82,8914605.0,8956215.0,8914605.0,8914605.0,9071190.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
83,8914605.0,8956215.0,8914605.0,8914605.0,9071190.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
84,8914605.0,8956215.0,8914605.0,8914605.0,9071190.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
85,8914605.0,8956215.0,8914605.0,8914605.0,9079740.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
86,8914605.0,8956215.0,8914605.0,8914605.0,9079740.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
87,8914605.0,8956215.0,8914605.0,8914605.0,9079740.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
88,8914605.0,8956215.0,8914605.0,8914605.0,9088290.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
89,8914605.0,8956215.0,8914605.0,8914605.0,9088290.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
90,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
91,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
92,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
93,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
94,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10919820.0
95,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10931235.0
96,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10932600.0
97,8914605.0,8956215.0,8914605.0,8914605.0,9129165.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10991940.0
98,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,10991940.0
99,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11018220.0
100,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11018220.0
