result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
4,23091495.0,23112870.0,23091495.0,23091495.0,23091495.0,23091495.0,23091495.0,23108595.0,23091495.0,23091495.0,22474820.0
5,23091495.0,23112870.0,23091495.0,23091495.0,23091495.0,23123415.0,23091495.0,23108595.0,23091495.0,23091495.0,22474820.0
6,23091495.0,23112870.0,23091495.0,23091495.0,23100045.0,23123415.0,23091495.0,23254995.0,23091495.0,23091495.0,22474820.0
7,23091495.0,23112870.0,23091495.0,23091495.0,23100045.0,23123415.0,23091495.0,23254995.0,23091495.0,23091495.0,22474820.0
8,23091495.0,23112870.0,23091495.0,23091495.0,23124555.0,23123415.0,23091495.0,23272095.0,23091495.0,23091495.0,22474820.0
9,23091495.0,23112870.0,23091495.0,23091495.0,23124555.0,23123415.0,23091495.0,23272095.0,23098335.0,23091495.0,22474820.0
10,23091495.0,23112870.0,23091495.0,23091495.0,23124555.0,23123415.0,23091495.0,23276370.0,23098335.0,23091495.0,22474820.0
11,23091495.0,23112870.0,23091495.0,23091495.0,23132535.0,23141715.0,23091495.0,23291190.0,23098335.0,23091495.0,22474820.0
12,23091495.0,23112870.0,23091495.0,23091495.0,23157045.0,23141715.0,23091495.0,23291190.0,23098335.0,23091495.0,22474820.0
13,23091495.0,23112870.0,23091495.0,23091495.0,23157045.0,23141715.0,23091495.0,23291190.0,23098335.0,23091495.0,22474820.0
14,23091495.0,23112870.0,23107455.0,23091495.0,23157045.0,23141715.0,23091495.0,23291190.0,23098335.0,23091495.0,22474820.0
15,23091495.0,23112870.0,23107455.0,23091495.0,23157045.0,23141715.0,23091495.0,23295465.0,23098335.0,23091495.0,22474820.0
16,23091495.0,23120280.0,23107455.0,23091495.0,23157045.0,23141715.0,23091495.0,23295465.0,23098335.0,23091495.0,22474820.0
17,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23295465.0,23098335.0,23091495.0,22474820.0
18,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23304015.0,23098335.0,23091495.0,22474820.0
19,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23304015.0,23098335.0,23091495.0,22474820.0
20,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23368995.0,23098335.0,23091495.0,22474820.0
21,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23368995.0,23098335.0,23091495.0,22474820.0
22,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23368995.0,23098335.0,23091495.0,22474820.0
23,23091495.0,23120280.0,23107455.0,23091495.0,23193645.0,23141715.0,23091495.0,23368995.0,23098335.0,23091495.0,22474820.0
24,23091495.0,23120280.0,23107455.0,23091495.0,23197920.0,23141715.0,23091495.0,23368995.0,23098335.0,23091495.0,22474820.0
25,23091495.0,23120280.0,23107455.0,23091495.0,23197920.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
26,23091495.0,23134305.0,23107455.0,23091495.0,23206470.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
27,23091495.0,23134305.0,23107455.0,23091495.0,23206470.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
28,23091495.0,23134305.0,23107455.0,23091495.0,23206470.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
29,23091495.0,23147130.0,23107455.0,23091495.0,23206470.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
30,23091495.0,23147130.0,23107455.0,23091495.0,23206470.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
31,23091495.0,23147130.0,23107455.0,23091495.0,23215020.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
32,23091495.0,23147130.0,23107455.0,23091495.0,23215020.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
33,23091495.0,23147130.0,23107455.0,23091495.0,23215020.0,23141715.0,23091495.0,23368995.0,23135670.0,23091495.0,22474820.0
34,23091495.0,23147130.0,23107455.0,23091495.0,23215020.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
35,23091495.0,23147130.0,23107455.0,23091495.0,23215020.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
36,23091495.0,23147130.0,23107455.0,23091495.0,23223000.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
37,23091495.0,23155680.0,23107455.0,23091495.0,23238960.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
38,23091495.0,23155680.0,23109795.0,23091495.0,23238960.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
39,23091495.0,23167365.0,23109795.0,23091495.0,23238960.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
